Energy,s,py,pz,px,dxy,dyz,dz2,dxz,dx2,fy3x2,fxyz,fyz2,fz3,fxz2,fzx2,fx3,tot
-44.47807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.45407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.43007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.40607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.38207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.35807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.33407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.31007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.28607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.26207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.23807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.21407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.19007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.16607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.14207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.11807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.09407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.07007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.04607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.02207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.99807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.97407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.95007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.92607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.90207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.87807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.85507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.83107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.80707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.78307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.75907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.73507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.71107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.68707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.66307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.63907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.61507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.59107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.56707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.54307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.51907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.49507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.47107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.44707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.42307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.39907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.37507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.35107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.32707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.30307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.27907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.25507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.23107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.20707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.18307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.15907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.13507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.11107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.08707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.06307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.03907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43.01507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.99107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.96807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.94407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.92007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.89607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.87207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.84807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.82407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.77607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.75207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.72807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.70407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.68007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.65607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.63207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.60807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.58407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.56007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.53607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.51207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-42.48807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
